Ion Z N Eth Emax E0 sigma0 ya P yw y0 y1
NaIV 11 8 9.892e1 1.143e3 6.69e-1 2.33 1.205e2 9.714 7.365e-1 1.383e2 4.26
NaV 11 7 1.384e2 1.185e3 5.408 2.346e1 2.913e1 8.26 9.275e-1 2.204e1 7.577e-1
NaVI 11 6 1.722e2 1.23e3 4.846e1 7.101e1 3.945e1 2.832 1.285e-2 9.603e-4 6.378e-3
NaVII 11 5 2.085e2 1.281e3 2.096 1.609 2.473e2 7.681 1.895 9.94e1 3.278
NaVIII 11 4 2.642e2 1.335e3 1.535e2 7.215e3 3.886e-1 8.476 9.121e-1 1.667e-1 1.766e-2
NaIX 11 3 2.99e2 1.386e3 1.391e1 4.729e1 3.889e1 5.265 0. 0. 0.
NaX 11 2 1.465e3 5.e4 2.268e2 3.995e1 5.315e1 1.678 0. 0. 0.
NaXI 11 1 1.649e3 5.e4 5.211e1 4.525e2 3.288e1 2.963 0. 0. 0.
MgI 12 12 7.646 5.49e1 1.197e1 1.372e8 2.228e-1 1.574e1 2.805e-1 0. 0.
MgII 12 11 1.504e1 6.569e1 8.139 3.278 4.341e7 3.610 0. 0. 0.
MgIII 12 10 8.014e1 1.317e3 1.086e1 5.377e2 9.779 7.117 2.604 4.86 3.722
MgIV 12 9 1.093e2 1.356e3 2.912e1 1.394e3 2.895 6.487 4.326e-2 9.402e-1 1.135e-1
MgV 12 8 1.413e2 1.4e3 9.762e-1 1.728 9.184e1 1.006e1 8.09e-1 1.276e2 3.979
MgVI 12 7 1.865e2 1.449e3 1.711 2.185 9.184e1 1.006e1 8.09e-1 1.276e2 3.979
MgVII 12 6 2.249e2 1.501e3 3.57 3.104 6.06e1 8.857 1.422 5.452e1 2.078
MgVIII 12 5 2.66e2 1.558e3 4.884e-1 6.344e-2 5.085e2 9.385 6.666e-1 5.348e2 3.997e-3
MgIX 12 4 3.282e2 1.618e3 3.482e1 9.008e2 1.823 1.444e1 2.751 5.444 7.918e-2
MgX 12 3 3.675e2 1.675e3 1.452e1 4.427e1 3.826e1 5.46 0. 0. 0.
MgXI 12 2 1.762e3 5.e4 2.042e2 6.14e1 2.778e1 2.161 0. 0. 0.
MgXII 12 1 1.963e3 5.e4 6.203e1 3.802e2 3.288e1 2.963 0. 0. 0.
AlI 13 13 5.986 8.04e1 1.381e1 7.195 1.621e3 3.642 3.166e-1 2.041e-1 4.753e-1
AlII 13 12 1.883e1 8.997e1 2.048e-1 6.948e-2 5.675e2 9.049 4.615e-1 9.149e1 6.565e-1
AlIII 13 11 2.845e1 1.026e2 1.027e1 4.915 1.99e6 3.477 0. 0. 0.
AlIV 13 10 1.2e2 1.588e3 3.13 1.513e1 1.674e1 1.18e1 5.342 3.994e1 4.803
AlV 13 9 1.538e2 1.634e3 2.414e1 2.962e-2 1.856e1 2.084e1 8.839 5.675e-2 2.768e-1
AlVI 13 8 1.905e2 1.688e3 3.483e-1 1.962e-2 1.856e1 2.084e1 8.839 5.675e-2 2.768e-1
AlVII 13 7 2.414e2 1.739e3 2.636 1.889e2 1.338e2 6.204 1.836 3.552e1 8.223e-3
AlVIII 13 6 2.846e2 1.799e3 4.866e-1 2.35e-1 7.216e2 8.659 2.773e-1 5.704e2 1.58e-1
AlIX 13 5 3.301e2 1.862e3 1.842 4.982e-1 2.568e2 8.406 6.945e-1 1.719e2 6.595
AlX 13 4 3.994e2 1.929e3 8044 1774e4 1.653 2.655e1 2.953e1 2.538e-2 1.203e-2
AlXI 13 3 4.421e2 1.992e3 2.355e1 3.388e1 3.432e1 5.085 0. 0. 0.
AlXII 13 2 2.086e3 5.e4 2.738e2 4.036e1 3.567e1 1.915 0. 0. 0.
AlXIII 13 1 2.304e3 5.e4 7.281e1 3.239e2 3.288e1 2.963 0. 0. 0.
SiI 14 14 8.152 1.06e2 2.317e1 2.506e1 2.057e1 3.546 2.837e-1 1.672e-5 4.207e-1
SiII 14 13 1.635e1 1.186e2 2.556 4.140 1.337e1 1.191e1 1.57 6.634 1.272e-1
