T								F
3388442								4.2963435E-23
3311311								4.3981296E-23
3235937								4.5116149E-23
3162278								4.6376358E-23
3090295								4.7770174E-23
3019952								4.9305585E-23
2951209								5.099022E-23
2884032								5.2831341E-23
2818383								5.4835905E-23
2754229								5.7010815E-23
2691535								5.936319E-23
2630268								6.1900529E-23
2570396								6.4630778E-23
2511886								6.7561933E-23
2454709								7.0700981E-23
2398833								7.4052139E-23
2344229								7.7614551E-23
2290868								8.1379563E-23
2238721								8.532821E-23
2187762								8.9429459E-23
2137962								9.3639891E-23
2089296								9.7905379E-23
2041738								1.0216482E-22
1995262								1.0635557E-22
1949845								1.1041918E-22
1905461								1.1430716E-22
1862087								1.1798379E-22
1819701								1.2142731E-22
1778279								1.2462874E-22
1737801								1.2758933E-22
1698244								1.3031757E-22
1659587								1.3282656E-22
1621810								1.3513212E-22
1584893								1.3725163E-22
1548817								1.3920335E-22
1513561								1.4100604E-22
1479108								1.4267879E-22
1445440								1.4424072E-22
1412538								1.4571102E-22
1380384								1.4710848E-22
1348963								1.4845087E-22
1318257								1.4975451E-22
1288250								1.510336E-22
1258925								1.5229948E-22
1230269								1.535598E-22
1202264								1.5481757E-22
1174898								1.5607032E-22
1148154								1.5730957E-22
1122018								1.5852087E-22
1096478								1.5968462E-22
1071519								1.607779E-22
1047129								1.6177698E-22
1023293								1.6266046E-22
1000000								1.6341238E-22
977237.2								1.6402483E-22
954992.6								1.6449972E-22
933254.3								1.6484904E-22
912010.8								1.6509428E-22
891250.9								1.6526524E-22
870963.6								1.6539855E-22
851138								1.655362E-22
831763.8								1.6572415E-22
812830.5								1.6601127E-22
794328.2								1.6644836E-22
776247.1								1.6708707E-22
758577.6								1.6797859E-22
741310.2								1.6917166E-22
724436								1.7070988E-22
707945.8								1.7262807E-22
691831								1.7494775E-22
676083								1.7767211E-22
660693.4								1.807811E-22
645654.2								1.8422755E-22
630957.3								1.8793573E-22
616595								1.918036E-22
602559.6								1.9570962E-22
588843.7								1.9952369E-22
575439.9								2.0312098E-22
562341.3								2.063961E-22
549540.9								2.0927512E-22
537031.8								2.1172264E-22
524807.5								2.1374341E-22
512861.4								2.1537895E-22
501187.2								2.1670112E-22
489778.8								2.1780419E-22
478630.1								2.1879887E-22
467735.1								2.1980614E-22
457088.2								2.2095434E-22
446683.6								2.2237804E-22
436515.8								2.2421864E-22
426579.5								2.266262E-22
416869.4								2.297622E-22
407380.3								2.338026E-22
398107.2								2.389407E-22
389045.1								2.4538929E-22
380189.4								2.5338095E-22
371535.2								2.6316479E-22
363078.1								2.7499816E-22
354813.4								2.8913153E-22
346736.9								3.0578482E-22
338844.2								3.2511417E-22
331131.1								3.4717E-22
