Mass	RemnantMass	CompanionMass	Temperature	Luminosity	IonLuminosity	Time
23.6341	6.28367	22.9688	2.41589e+06	1.30401e+35	0	1e+07
71.1408	8	30.4092	1.30722e+07	1.11781e+38	2.83677e+36	5e+06
41.804	8.5245	27.7717	3.4243e+06	5.2633e+35	0	5.7e+06
48.4427	8	16.5887	7.03799e+06	9.39216e+36	0	5.9e+06
34.89	9.38875	24.568	7.23237e+06	1.04735e+37	1.16283e+36	6.3e+06
38.8102	8.89873	24.1021	9.79422e+06	3.52251e+37	1.88028e+36	6.8e+06
46.9286	8	40.2023	1.88289e+07	4.81136e+38	4.55869e+36	6.8e+06
80.3983	8.03983	49.388	1.43325e+07	1.61531e+38	3.21055e+36	6.8e+06
34.2056	9.4743	16.1741	1.94344e+06	5.46081e+34	0	7.1e+06
61.3732	8	29.483	1.31111e+07	1.13118e+38	2.84828e+36	7.1e+06
30.6318	9.92103	11.9299	2.57022e+06	1.67052e+35	0	7.3e+06
28.8579	9.32916	16.6337	802246	1.58563e+33	0	7.7e+06
36.3825	9.20218	35.139	3.80356e+06	8.01181e+35	0	7.9e+06
38.7665	8.90418	35.298	7.58558e+06	1.26744e+37	1.25915e+36	8.1e+06
32.4505	9.69369	12.8869	3.17163e+06	3.8735e+35	0	8.2e+06
28.7727	9.27949	15.1375	1.59823e+07	2.49763e+38	3.70304e+36	8.3e+06
34.1756	9.47804	11.4243	2.61048e+06	1.77768e+35	0	8.3e+06
24.1595	6.58998	18.1018	6.43042e+06	6.54529e+36	0	8.4e+06
23.2876	6.08169	13.7225	1.71647e+07	3.32287e+38	4.05769e+36	8.7e+06
24.6944	6.90185	16.0867	5.64904e+06	3.89825e+36	0	8.8e+06
21.0056	4.75128	7.11941	4.67548e+06	1.82926e+36	0	9e+06
26.4862	7.94643	18.3314	9.33584e+06	2.90794e+37	1.74913e+36	9e+06
31.0316	9.87105	17.2857	1.33442e+07	1.21377e+38	2.91722e+36	9e+06
23.9182	6.4493	9.27793	1.92468e+06	5.25296e+34	0	9.1e+06
22.2681	5.48727	10.2743	1.2987e+06	1.08894e+34	0	9.5e+06
24.3159	6.68114	9.0322	2.30167e+06	1.07435e+35	0	9.5e+06
20.7128	4.58056	18.4965	2.42028e+06	1.31352e+35	0	9.6e+06
25.4614	7.34901	18.8408	1.97785e+06	5.85798e+34	0	9.7e+06
26.2705	7.82072	22.111	5.11585e+06	2.62206e+36	0	9.7e+06
30.0563	9.99297	21.2751	4.85289e+06	2.12311e+36	0	9.8e+06
21.3258	4.93794	13.4314	2.38986e+06	1.2487e+35	0	1e+07
